source_filename,function_name,loc_suggestion
projects/CoreNLP/src/edu/stanford/nlp/naturalli/Util.java,guessNER,"(52, 56)"
projects/CoreNLP/src/edu/stanford/nlp/naturalli/Util.java,guessNER,"(51, 56)"
projects/CoreNLP/src/edu/stanford/nlp/naturalli/Util.java,guessNER,"(50, 56)"
projects/CoreNLP/src/edu/stanford/nlp/naturalli/Util.java,guessNER,"(46, 51)"
projects/CoreNLP/src/edu/stanford/nlp/naturalli/Util.java,guessNER,"(46, 50)"
projects/CoreNLP/src/edu/stanford/nlp/naturalli/Util.java,extractNER,"(114, 122)"
projects/CoreNLP/src/edu/stanford/nlp/naturalli/Util.java,extractNER,"(111, 123)"
projects/CoreNLP/src/edu/stanford/nlp/naturalli/Util.java,extractNER,"(91, 93)"
projects/CoreNLP/src/edu/stanford/nlp/naturalli/Util.java,extractNER,"(104, 106)"
projects/CoreNLP/src/edu/stanford/nlp/naturalli/Util.java,extractNER,"(117, 122)"
projects/CoreNLP/src/edu/stanford/nlp/naturalli/Util.java,cleanTree,"(252, 253)"
projects/CoreNLP/src/edu/stanford/nlp/naturalli/Util.java,cleanTree,"(233, 235)"
projects/CoreNLP/src/edu/stanford/nlp/naturalli/Util.java,cleanTree,"(216, 248)"
projects/CoreNLP/src/edu/stanford/nlp/naturalli/Util.java,cleanTree,"(218, 238)"
projects/CoreNLP/src/edu/stanford/nlp/naturalli/Util.java,cleanTree,"(216, 238)"
projects/CoreNLP/src/edu/stanford/nlp/naturalli/Util.java,isTree,"(281, 283)"
projects/CoreNLP/src/edu/stanford/nlp/naturalli/Util.java,isTree,"(280, 283)"
projects/CoreNLP/src/edu/stanford/nlp/naturalli/Util.java,isTree,"(290, 292)"
projects/CoreNLP/src/edu/stanford/nlp/naturalli/Util.java,isTree,"(289, 292)"
projects/CoreNLP/src/edu/stanford/nlp/naturalli/Util.java,isTree,"(282, 282)"
projects/CoreNLP/src/edu/stanford/nlp/naturalli/Util.java,dumpAccuracy,"(334, 335)"
projects/CoreNLP/src/edu/stanford/nlp/naturalli/Util.java,dumpAccuracy,"(333, 335)"
projects/CoreNLP/src/edu/stanford/nlp/naturalli/Util.java,dumpAccuracy,"(332, 335)"
projects/CoreNLP/src/edu/stanford/nlp/naturalli/Util.java,dumpAccuracy,"(336, 343)"
projects/CoreNLP/src/edu/stanford/nlp/naturalli/Util.java,dumpAccuracy,"(332, 333)"
